Prodavnica,Ime,Brend,Procesor,RAM_Memorija,Kapacitet,Cena,Klub/Smart/Happy cena
Anhoch,"Notebook Dell Vostro 5625 Ryzen5 5625U 8GB/256GB SSD/16"" FHD+/BacklitKB/Win11Pro",Dell,RYZEN5 5625U,8 GB,256 GB SSD,"36.980,00 ???.",
Anhoch,"Notebook Acer Predator Helios NEO Gaming i9-14900HX/32GB DDR5/1TB SSD/16"" WQXGA 240Hz/RTX 4070 8GB",Acer,I9 14900HX,32 GB,1 TB SSD,"119.980,00 ???.",
Tehnomarket,"Notebook HP 250 G9 i3-1215U 8GB/512GB/15.6"" FHD AG/Intel UHD/GigaLAN/T",Hp,I3 1215U,8 GB,512 GB SSD,"19,999 ???.","17,980 ???."
Tehnomarket,"Notebook Lenovo IdeaPad Slim 3 Ryzen3 7320U/8GB/256GB SSD/15.6"" FHD/DO",Lenovo,RYZEN3 7320U,8 GB,256 GB SSD,"19,999 ???.","17,489 ???."
Tehnomarket,"HP 15s i3-1215U8GB/512GB/15.6""FHDAG/IntelUHD/GigaLAN/Type-C/DOS/GREY",Hp,I3 1215U,8 GB,512 GB SSD,"21,299 ???.","18,980 ???."
Tehnomarket,"LENOVO IP3 RYZEN3 3250U 4GB/256GB SSD/15.6"" FHD TN AG/DOS/ARCTIC GRAY",Lenovo,RYZEN3 3250U,4 GB,256 GB SSD,"21,899 ???.","14,991 ???."
Tehnomarket,"Notebook Acer Aspire 3 A315-59-502V i5-1235U 8GB/512GB/15.6"" FullHD IP",Acer,I5 1235U,8 GB,512 GB SSD,"21,999 ???.","20,499 ???."
Tehnomarket,"Notebook Dell Vostro 3520 i3-1215U/8GB/256GB/Intel Iris XE/15.6"" FHD 1",Dell,I3 1215U,8 GB,256 GB SSD,"22,999 ???.","17,591 ???."
Tehnomarket,"Notebook HP 15 Ryzen3 7320U/8GB/256GB/15.6"" FullHD IPS/DOS/Grey",Hp,RYZEN3 7320U,8 GB,256 GB SSD,"23,499 ???.","17,989 ???."
Tehnomarket,"HP 250 G9 I3-1215U 8GB/256GB/15.6"" FHD AG/IRIS XE/GIGALAN/TYPE-C/DOS/D",Hp,I3 1215U,8 GB,256 GB SSD,"24,699 ???.","16,991 ???."
Tehnomarket,"Notebook Lenovo IdeaPad Slim 3 i3-1305U 8GB/256GB SSD/15.6"" FullHD/DOS",Lenovo,I3 1305U,8 GB,256 GB SSD,"24,999 ???.","20,991 ???."
Tehnomarket,"Notebook Acer EX215-23-R3KW Ryzen5 7520U 8GB/512GB SSD/15.6"" FullHD/Ca",Acer,RYZEN5 7520U,8 GB,512 GB SSD,"26,999 ???.","18,991 ???."
Tehnomarket,"Notebook Dell Inspiron 3535 Ryzen5 7530U 16GB/512GB/Radeon 610M/15.6""",Dell,RYZEN5 7530U,16 GB,512 GB SSD,"27,999 ???.","25,499 ???."
Tehnomarket,"Notebook HP 255 G10 Ryzen5 7530U 16GB/512GB/15.6"" FHD/BacklitKb/Silver",Hp,RYZEN5 7530U,16 GB,512 GB SSD,"27,999 ???.","24,499 ???."
Tehnomarket,"Notebook Acer Aspire A315 Ryzen5 3500U 8GB/256GB SSD/GigaLAN/15.6"" Ful",Acer,RYZEN5 3500U,8 GB,256 GB SSD,"28,499 ???.","17,991 ???."
Tehnomarket,"Notebook HP 15 i5-1334U 16GB/512GB/15.6"" FHD IPS/Iris XE/Type-C/DOS/Si",Hp,I5 1334U,16 GB,512 GB SSD,"28,999 ???.","27,980 ???."
Tehnomarket,"LENOVO IDEAPAD 1 RYZEN5 7520U/8GB/512GB SSD/15.6"" FHD/DOS",Lenovo,RYZEN5 7520U,8 GB,512 GB SSD,"30,699 ???.","19,991 ???."
Tehnomarket,"Notebook Dell Inspiron 3525 Ryzen7 5825U/16GB/512GB SSD/Vega8/15.6"" FH",Dell,RYZEN7 5825U,16 GB,512 GB SSD,"30,999 ???.","28,999 ???."
Tehnomarket,"Notebook HP 250 G10 i5-1335U 8GB/512GB/15.6"" FullHD AG/HDMI/USB-C/DOS",Hp,I5 1335U,8 GB,512 GB SSD,"32,999 ???.","25,991 ???."
Tehnomarket,"Notebook Dell Inspiron 3535 Ryzen7 7730U 16GB/1TB/Radeon 610M15.6"" FHD",Dell,RYZEN7 7730U,16 GB,1 TB SSD,"33,999 ???.","30,799 ???."
Tehnomarket,"Notebook Acer Aspire 5 A515-58P-77RL i7-1355U/16GB/512GB/15.6"" FHD IPS",Acer,I7 1355U,16 GB,512 GB SSD,"35,999 ???.","32,999 ???."
Tehnomarket,"Lenovo IP3 i7-1255U 16GB/512GB/15.6"" FullHD IPS/DOS/ArcticGray",Lenovo,I7 1255U,16 GB,512 GB SSD,"40,599 ???.","32,991 ???."
Tehnomarket,"Notebook Dell Vostro 3520 i7-1255U 16GB/512GB/Intel Iris XE/15.6"" FHD",Dell,I7 1255U,16 GB,512 GB SSD,"44,999 ???.","39,999 ???."
Tehnomarket,DELL Vostro 3510 i5-1135G7/MX350 2GB/15.6” FHD/8GB/SSD 512GB/BACKLIT/B,Dell,I5 1135G,2 GB,512 GB SSD,"48,999 ???.","35,991 ???."
Tehnomarket,"Lenovo Gaming 3 i5-12450H/16GB/512GB/RTX3060 6GB/15.6"" FHD 120Hz/Backl",Lenovo,I5 12450H,16 GB,512 GB SSD,"68,499 ???.","59,979 ???."
Tehnomarket,"Lenovo Gaming 3 Ryzen7 6800H 16GB/512GB/RTX3050Ti 4GB/15.6"" FullHD AG",Lenovo,RYZEN7 6800H,16 GB,512 GB SSD,"69,539 ???.","52,991 ???."
