Prodavnica,Ime,Brend,Procesor,RAM_Memorija,Kapacitet,Cena,Klub/Smart/Happy cena
Tehnomarket,"HP 250 G10 i5-1335U 8GB/512GB/15.6"" FullHD AG/HDMI/USB-C/DOS",Hp,I5 1335U,8,512,32999,25991
Tehnomarket,"Dell Inspiron 3535 Ryzen7 7730U 16GB/1TB/Radeon 610M15.6"" FHD",Dell,Ryzen7 7730U,16,1024,33999,30799
Tehnomarket,"Acer Aspire 5 A515-58P-77RL i7-1355U/16GB/512GB/15.6"" FHD IPS",Acer,I7 1355U,16,512,35999,32999
Tehnomarket,"Lenovo IP3 i7-1255U 16GB/512GB/15.6"" FullHD IPS/DOS/ArcticGray",Lenovo,I7 1255U,16,512,40599,32991
Tehnomarket,"Dell Vostro 3520 i7-1255U 16GB/512GB/Intel Iris XE/15.6"" FHD",Dell,I7 1255U,16,512,44999,39999
Tehnomarket,DELL Vostro 3510 i5-1135G7/MX350 2GB/15.6” FHD/8GB/SSD 512GB/BACKLIT/B,Dell,I5 1135G,2,512,48999,35991
Tehnomarket,"Lenovo Gaming 3 i5-12450H/16GB/512GB/RTX3060 6GB/15.6"" FHD 120Hz/Backl",Lenovo,I5 12450H,16,512,68499,59979
Tehnomarket,"Lenovo Gaming 3 Ryzen7 6800H 16GB/512GB/RTX3050Ti 4GB/15.6"" FullHD AG",Lenovo,Ryzen7 6800H,16,512,69539,52991
Tehnomarket,"LENOVO GAMING 3 I7-12650H 16GB/512GB/RTX3050 TI 4GB/16"" FULLHD AG 165H",Lenovo,I7 12650H,16,512,71599,64979
Tehnomarket,Apple Macbook Air 13.3: SPG/M1 8C CPU/7C GPU/8GB/256GB-ZEE,Apple,M1,8,256,72699,48999
Tehnomarket,"Lenovo Gaming 3 i7-12650H 16GB/512GB/RTX3060 6GB/15.6"" FullHD AG 120Hz",Lenovo,I7 12650H,16,512,74599,60991
Tehnomarket,Apple MBA 13.6: SKY BLUE/M4 10C CPU/8C GPU/16GB/256GB-ZEE,Apple,M4,16,256,75999,
Tehnomarket,Apple MBA 13.6: MIDNIGHT/M4 10C CPU/8C GPU/16GB/256GB-ZEE,Apple,M4,16,256,75999,
Tehnomarket,Apple MBA 13.6: STARLIGHT/M4 10C CPU/8C GPU/16GB/256GB-ZEE,Apple,M4,16,256,75999,
Tehnomarket,Apple MBA 13.6: SILVER/M4 10C CPU/8C GPU/16GB/256GB-ZEE,Apple,M4,16,256,75999,
Tehnomarket,"MSI Cyborg 15 i7-12650H/8GB/512GB SSD/RTX 4060 8GB/15.6"" FHD",Msi,I7 12650H,8,512,81999,59991
Gjirafa50,"ASUS TUF Gaming A16 FA607NU-R5085W, 16"", AMD Ryzen 5 7535HS, 8GB RAM, 512GB SSD, NVIDIA GeForce RTX 4050, Windows 11 Home",Asus,Ryzen 5 7535Hs,8,512,64290,63590
Gjirafa50,"Asus TUF Gaming A15 FA507NVR, 15,6"", AMD Ryzen 7 7435HS, 16GB RAM, 512GB SSD, GeForce RTX 4060, ????",Asus,Ryzen 7 7435Hs,16,512,73590,58990
Gjirafa50,"ASUS V16 V3607VU, 16"", Intel Core 5 210H, 16GB RAM, 512GB SSD, NVIDIA GeForce RTX 4050",Asus,I5,16,512,64190,
Gjirafa50,"Gigabyte G6X 9KG 2024, 16"", Intel Core i7-13650HX, 165Hz, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 4060",Gigabyte,Ii7 13650Hx,16,1024,65390,58990
Gjirafa50,"Lenovo LOQ 15IAX9E, 15,6"", Intel Core i5 i5-12450HX, 16GB RAM, 512GB SSD, NVIDIA GeForce RTX 2050",Lenovo,Ii5,16,512,44590,43790
Gjirafa50,"MSI Thin A15 B7VF-460XPL, 15,6"", AMD Ryzen 7 7735HS, 16GB DDR5-SDRAM, 512GB SSD, NVIDIA GeForce RTX 4060, ????",Msi,Ryzen 7 7735Hs,16,512,64733,60990
Gjirafa50,"Lenovo LOQ 15ARP9, 15.6"", Ryzen 5 7235HS",Lenovo,Ryzen 5 7235Hs,,,58290,49990
Gjirafa50,"Lenovo LOQ 15ARP9, AMD Ryzen 7 7435HS, 24GB RAM, 512GB SSD, NVIDIA RTX 4060, i hirtë",Lenovo,Ryzen 7 7435Hs,24,512,95090,83990
Gjirafa50,"MSI Katana 15 B13VFK-1437XPL, 15.6"", Intel Core i7-13620H, 32GB RAM, 1TB SSD, NVIDIA GeForce RTX 4060, ????",Msi,Ii7 13620H,32,1024,84590,63990
Gjirafa50,"MSI Katana 17 B13VEK-1464XCZ, 17.3"", Intel Core i5-13420H, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 4050 Graphics, ???? ????",Msi,Ii5 13420H,16,1024,70590,64590
Gjirafa50,"HP OMEN 16-wd0004nw, 16.1"", Intel Core i7-13620H, 144Hz, 16GB RAM, 512GB SSD, NVIDIA GeForce RTX 4060",Hp,Ii7 13620H,16,512,81190,81090
Gjirafa50,"Gigabyte Aorus 16X 9KG 2024, Intel Core i7-13650HX, 32GB RAM, 1TB SSD, NVIDIA GeForce RTX 4060",Gigabyte,Ii7 13650Hx,32,1024,85490,82790
Gjirafa50,"MSI Cyborg 15 A13VE-1613XPL, 15.6"", Intel Core i5-13420H, 16GB RAM, 512GB SSD, NVIDIA GeForce RTX 4050, i zi",Msi,Ii5 13420H,16,512,62390,54990
Gjirafa50,"Acer Nitro V 15 ANV15-41, 15.6"", AMD Ryzen 5 6600H, 16GB RAM, 512GB SSD, NVIDIA GeForce RTX 2050, i zi",Acer,Ryzen 5 6600H,16,512,44790,32990
Gjirafa50,"Lenovo LOQ AMD, 15.6"" Full HD, 144 Hz, AMD Ryzen 7 7435HS, 16 GB RAM, 1TB SSD, NVIDIA GeForce RTX 4070",Lenovo,Ryzen 7 7435Hs,16,1024,90990,89990
Gjirafa50,"Lenovo Legion Pro, 16"", Intel i5-14500HX, 32 GB RAM, 1 TB SSD, NVIDIA GeForce RTX 4060, ???? ????",Lenovo,Intel I5 14500Hx,32,1024,115190,
Gjirafa50,"MSI Katana 15 B13VGK, 15,6"", FHD, Intel i7-13620H, 16GB RAM, 1TB SSD, NVIDIA RTX 4070, ???",Msi,Intel I7 13620H,16,1024,91839,86690
Gjirafa50,"MSI Cyborg 15 A13VE-1067XPL, 15,6"", Intel Core i7-13620H, 16GB DDR5-SDRAM, 512GB SSD, NVIDIA GeForce RTX 4050, ????",Msi,Ii7 13620H,16,512,67390,
Gjirafa50,"ASUS NTB ROG Strix G16 16"", QHD+, Intel® Core™ i7-13650HX, 16 GB RAM, 1TB SSD, NVIDIA GeForce RTX 4060,???? ????",Asus,Ii7 13650Hx,16,1024,101690,
Gjirafa50,"Lenovo LOQ 15IAX9, 15,6"", FHD, Intel i5-12450HX, 24GB RAM, SSD 512GB, RTX 4060 8GB, ???",Lenovo,Intel I5 12450Hx,24,512,76790,
